"ai_tool","user_type","experience_level","industry","primary_use_case","satisfaction_score","failure_reason"
"Microsoft Copilot","Lawyer","Expert","Healthcare","Video Creation",1.65,"Wrong output"
"GrammarlyGO","Non-Tech User","Expert","Tech","Research",1.21,"Tool limitation"
"Stable Diffusion","Senior Developer","Intermediate","Government","Research",1.2,"Low accuracy"
"GrammarlyGO","Product Manager","Expert","Education","Data Analysis",2.36,"Tool limitation"
"DALL-E","Senior Developer","Intermediate","Agriculture","Video Creation",1.12,"Tool limitation"
"Microsoft Copilot","Freelancer","Advanced","Healthcare","Learning",2.53,"Tool limitation"
"Canva AI","Marketer","Beginner","Finance","Marketing",1.02,"Connection issues"
"GPT-4","Teacher","Beginner","Education","Learning",1.92,"Low accuracy"
"Mistral","Marketer","Expert","Energy","Learning",1.37,"Connection issues"
"DeepSeek","DevOps Engineer","Expert","Education","Content Writing",1.88,"Connection issues"
"Microsoft Copilot","Content Creator","Advanced","Legal","Learning",1.71,"Slow response"
"Stable Diffusion","ML Engineer","Beginner","Government","Marketing",1.19,"Connection issues"
"HeyGen","Business Owner","Beginner","Government","Content Writing",2.03,"Slow response"
"Stable Diffusion","Designer","Intermediate","Education","Design",2.16,"Connection issues"
"Tableau AI","Startup Founder","Advanced","Tech","Marketing",1.56,"Wrong output"
"Gemini","Product Manager","Beginner","Manufacturing","Marketing",1.44,"Slow response"
"Tesla Optimus","Government Worker","Expert","Transportation","Translation",1.81,"Slow response"
"Cohere","Non-Tech User","Beginner","Government","Coding",2.19,"Slow response"
"Cohere","Data Analyst","Intermediate","Finance","Translation",2.41,"Connection issues"
"GPT-4","Government Worker","Advanced","Retail","Automation",1.68,"Connection issues"
"Tabnine","Senior Developer","Intermediate","Retail","Learning",1.08,"Tool limitation"
"DataRobot","Doctor","Expert","Healthcare","Coding",1.51,"Slow response"
"Codeium","Student","Advanced","Media","Research",1.43,"Slow response"
"DALL-E","Business Owner","Advanced","Healthcare","Research",1.18,"Low accuracy"
"Kensho","Teacher","Intermediate","Education","Coding",1.37,"Slow response"
"GPT-4","Content Creator","Advanced","Agriculture","Video Creation",2.17,"Wrong output"
"Mistral","Cybersecurity Analyst","Beginner","Healthcare","Translation",2.04,"Connection issues"
"Canva AI","Product Manager","Intermediate","Healthcare","Content Writing",2.37,"Wrong output"
"DALL-E","Business Owner","Advanced","Manufacturing","Translation",1.04,"Tool limitation"
"Claude","Data Analyst","Intermediate","Manufacturing","Learning",2.29,"Low accuracy"
"Whisper","Designer","Beginner","Retail","Automation",1.16,"Low accuracy"
"PyTorch","Data Analyst","Beginner","Government","Video Creation",1.08,"Slow response"
"PyTorch","Designer","Intermediate","Finance","Automation",2.36,"Low accuracy"
"Tesla Optimus","ML Engineer","Advanced","Media","Learning",2.26,"Low accuracy"
"Canva AI","Researcher","Expert","Manufacturing","Customer Support",1.3,"Low accuracy"
"HeyGen","Junior Dev","Intermediate","Government","Video Creation",1.36,"Wrong output"
"Cohere","Product Manager","Expert","Energy","Coding",1.84,"Slow response"
"Tableau AI","Doctor","Beginner","Agriculture","Video Creation",1.57,"Tool limitation"
"Elicit","Non-Tech User","Advanced","Media","Automation",1.61,"Tool limitation"
"LLaMA","Data Analyst","Advanced","Healthcare","Marketing",2.5,"Slow response"
"Microsoft Copilot","ML Engineer","Intermediate","Tech","Coding",1.21,"Low accuracy"
"Boston Dynamics AI","Business Owner","Beginner","Energy","Video Creation",1.29,"Slow response"
"GPT-5","Lawyer","Intermediate","Legal","Coding",1.63,"Slow response"
"Copy.ai","Senior Developer","Beginner","Healthcare","Coding",1.65,"Slow response"
"Tesla Optimus","Non-Tech User","Beginner","Government","Video Creation",1.9,"Low accuracy"
"Synthesia","Marketer","Intermediate","Finance","Marketing",1.64,"Wrong output"
"AlphaFold","Designer","Beginner","Legal","Video Creation",2.42,"Slow response"
"DataRobot","Senior Developer","Advanced","Education","Content Writing",1.92,"Wrong output"
"Whisper","ML Engineer","Beginner","Agriculture","Translation",1.82,"Tool limitation"
"Tableau AI","Non-Tech User","Expert","Agriculture","Research",1.17,"Connection issues"
"Boston Dynamics AI","Content Creator","Beginner","Finance","Translation",1.11,"Low accuracy"
"ElevenLabs","Senior Developer","Expert","Agriculture","Data Analysis",2.26,"Low accuracy"
"Perplexity AI","Junior Dev","Expert","Manufacturing","Research",2.58,"Low accuracy"
"Kensho","Student","Intermediate","Manufacturing","Translation",2.16,"Connection issues"
"Duolingo Max","Designer","Expert","Education","Marketing",1.59,"Tool limitation"
"Stable Diffusion","DevOps Engineer","Advanced","Media","Coding",1.33,"Wrong output"
"Perplexity AI","Designer","Advanced","Agriculture","Design",1.03,"Tool limitation"
"Perplexity AI","Content Creator","Intermediate","Manufacturing","Learning",2.1,"Low accuracy"
"Gemini","Junior Dev","Expert","Energy","Marketing",1.18,"Tool limitation"
"Microsoft Copilot","Non-Tech User","Expert","Media","Coding",2.56,"Tool limitation"
"GrammarlyGO","Product Manager","Expert","Education","Coding",1.13,"Wrong output"
"Canva AI","ML Engineer","Expert","Agriculture","Content Writing",2.25,"Tool limitation"
"TensorFlow","ML Engineer","Advanced","Tech","Design",1.28,"Slow response"
"GitHub Copilot","Doctor","Advanced","Government","Translation",1.53,"Tool limitation"
"GPT-4","ML Engineer","Expert","Legal","Research",2.04,"Slow response"
"GrammarlyGO","Non-Tech User","Intermediate","Tech","Data Analysis",2.32,"Connection issues"
"Grok","Data Analyst","Advanced","Manufacturing","Marketing",2.51,"Tool limitation"
"Tabnine","Marketer","Beginner","Retail","Coding",2.52,"Tool limitation"
"GPT-4","Junior Dev","Expert","Education","Customer Support",1.86,"Tool limitation"
"GitHub Copilot","Teacher","Expert","Education","Automation",2.56,"Connection issues"
"Jasper","Cybersecurity Analyst","Beginner","Energy","Coding",2.3,"Tool limitation"
"Grok","Junior Dev","Advanced","Government","Content Writing",1.92,"Wrong output"
"Elicit","Student","Intermediate","Retail","Coding",1.75,"Low accuracy"
"Whisper","Freelancer","Intermediate","Legal","Learning",1.36,"Connection issues"
"Khanmigo","Startup Founder","Intermediate","Media","Data Analysis",1.21,"Wrong output"
"Qwen","Lawyer","Intermediate","Government","Translation",1.38,"Tool limitation"
"Synthesia","Startup Founder","Beginner","Tech","Design",1.08,"Connection issues"
"Khanmigo","Government Worker","Intermediate","Legal","Translation",2.11,"Wrong output"
"LangChain","Product Manager","Advanced","Healthcare","Data Analysis",1.5,"Low accuracy"
"GPT-5","Government Worker","Beginner","Government","Coding",2.16,"Connection issues"
"Qwen","Non-Tech User","Advanced","Manufacturing","Research",1.26,"Low accuracy"
"Boston Dynamics AI","Startup Founder","Advanced","Government","Design",2.41,"Tool limitation"
"Synthesia","Content Creator","Expert","Education","Content Writing",1.26,"Low accuracy"
"Tabnine","Content Creator","Intermediate","Government","Marketing",1.84,"Connection issues"
"Khanmigo","Student","Beginner","Media","Translation",2.56,"Wrong output"
"Claude","Senior Developer","Intermediate","Education","Coding",1.28,"Connection issues"
"Deepgram","Marketer","Expert","Education","Research",2.05,"Low accuracy"
"Falcon","Non-Tech User","Intermediate","Manufacturing","Marketing",1.18,"Wrong output"
"ElevenLabs","Lawyer","Advanced","Transportation","Customer Support",2.19,"Slow response"
"Tableau AI","Business Owner","Expert","Media","Marketing",1.92,"Connection issues"
"GrammarlyGO","Lawyer","Expert","Legal","Automation",1.81,"Wrong output"
"Kensho","Researcher","Advanced","Agriculture","Marketing",1.54,"Connection issues"
"Perplexity AI","Designer","Intermediate","Retail","Translation",1.32,"Low accuracy"
"Khanmigo","Lawyer","Expert","Legal","Customer Support",2.28,"Connection issues"
"Synthesia","Senior Developer","Advanced","Transportation","Coding",2.56,"Low accuracy"
"Claude","Product Manager","Intermediate","Agriculture","Video Creation",1.11,"Slow response"
"HeyGen","Government Worker","Beginner","Media","Coding",1.9,"Connection issues"
"Elicit","Government Worker","Expert","Healthcare","Automation",2.54,"Tool limitation"
"Kensho","Government Worker","Intermediate","Agriculture","Marketing",1.34,"Tool limitation"
"Figma AI","Freelancer","Expert","Legal","Research",1.98,"Slow response"
"Midjourney","Researcher","Beginner","Agriculture","Video Creation",2.4,"Wrong output"
"Synthesia","Government Worker","Intermediate","Finance","Marketing",1.01,"Wrong output"
"Jasper","Startup Founder","Intermediate","Legal","Content Writing",2.34,"Tool limitation"
"Jasper","ML Engineer","Beginner","Finance","Translation",2.38,"Connection issues"
"Grok","Content Creator","Expert","Healthcare","Video Creation",1.04,"Low accuracy"
"Duolingo Max","Designer","Intermediate","Healthcare","Content Writing",1.31,"Connection issues"
"Canva AI","Teacher","Intermediate","Education","Translation",1.72,"Slow response"
"TensorFlow","DevOps Engineer","Advanced","Transportation","Research",1.82,"Slow response"
"GitHub Copilot","Data Analyst","Beginner","Legal","Translation",1.12,"Low accuracy"
"Tesla Optimus","Product Manager","Expert","Government","Data Analysis",1.29,"Slow response"
"BloombergGPT","Cybersecurity Analyst","Intermediate","Energy","Translation",2.59,"Wrong output"
"Canva AI","Non-Tech User","Advanced","Manufacturing","Automation",1.84,"Tool limitation"
"AlphaFold","DevOps Engineer","Advanced","Agriculture","Customer Support",1.71,"Low accuracy"
"Mistral","Data Analyst","Intermediate","Media","Data Analysis",2.01,"Connection issues"
"Runway ML","Researcher","Intermediate","Finance","Translation",2.35,"Low accuracy"
"Runway ML","Marketer","Intermediate","Manufacturing","Customer Support",2.51,"Wrong output"
"Copy.ai","Government Worker","Expert","Manufacturing","Data Analysis",1.27,"Slow response"
"DataRobot","Product Manager","Expert","Media","Video Creation",2.55,"Tool limitation"
"Copy.ai","Startup Founder","Beginner","Media","Research",2.12,"Slow response"
"LLaMA","Marketer","Advanced","Manufacturing","Data Analysis",2.59,"Tool limitation"
"GrammarlyGO","Cybersecurity Analyst","Intermediate","Tech","Content Writing",1.28,"Connection issues"
"Jasper","Cybersecurity Analyst","Advanced","Energy","Customer Support",2.14,"Connection issues"
"Whisper","Student","Expert","Energy","Customer Support",1.02,"Connection issues"
"Cursor AI","ML Engineer","Advanced","Agriculture","Design",1.91,"Connection issues"
"Kensho","Researcher","Expert","Healthcare","Customer Support",1.7,"Wrong output"
"AlphaFold","Startup Founder","Beginner","Healthcare","Data Analysis",1.59,"Slow response"
"Notion AI","Marketer","Intermediate","Energy","Content Writing",1.11,"Tool limitation"
"Cohere","Business Owner","Advanced","Healthcare","Translation",1.23,"Tool limitation"
"Gemini","Cybersecurity Analyst","Expert","Manufacturing","Video Creation",1.16,"Tool limitation"
"Gemini","Business Owner","Advanced","Agriculture","Marketing",2.35,"Slow response"
"Midjourney","Lawyer","Beginner","Education","Data Analysis",1.48,"Tool limitation"
"Duolingo Max","Government Worker","Beginner","Media","Video Creation",2.55,"Low accuracy"
"Jasper","Non-Tech User","Expert","Energy","Content Writing",1.71,"Tool limitation"
"Microsoft Copilot","DevOps Engineer","Advanced","Energy","Design",2.41,"Slow response"
"Deepgram","Researcher","Expert","Agriculture","Research",2.58,"Connection issues"
"GrammarlyGO","Freelancer","Beginner","Retail","Customer Support",1.62,"Low accuracy"
"Midjourney","Student","Expert","Government","Automation",2.08,"Connection issues"
"Notion AI","Marketer","Advanced","Energy","Coding",2.57,"Wrong output"
"Tesla Optimus","Teacher","Advanced","Agriculture","Video Creation",2.21,"Wrong output"
"Stable Diffusion","Data Analyst","Intermediate","Government","Research",1.4,"Connection issues"
"Gemini","ML Engineer","Beginner","Media","Research",2.36,"Wrong output"
"Boston Dynamics AI","Student","Intermediate","Transportation","Automation",1.45,"Low accuracy"
"Falcon","Freelancer","Intermediate","Media","Data Analysis",2.29,"Tool limitation"
"Runway ML","Product Manager","Advanced","Finance","Design",2.35,"Tool limitation"
"Devin","Designer","Expert","Energy","Design",1.79,"Low accuracy"
"PyTorch","ML Engineer","Beginner","Manufacturing","Research",2.04,"Wrong output"
"DataRobot","Marketer","Beginner","Healthcare","Customer Support",2.04,"Tool limitation"
"Elicit","Designer","Beginner","Finance","Design",1.54,"Wrong output"
"Gemini","Designer","Beginner","Healthcare","Video Creation",1.54,"Slow response"
"Notion AI","Government Worker","Intermediate","Healthcare","Customer Support",1.02,"Wrong output"
"BloombergGPT","Government Worker","Advanced","Legal","Design",1.51,"Tool limitation"
"Canva AI","Junior Dev","Advanced","Education","Customer Support",2.39,"Wrong output"
"Jasper","Business Owner","Expert","Retail","Design",1.32,"Low accuracy"
"Perplexity AI","Junior Dev","Advanced","Government","Customer Support",1.97,"Wrong output"
"Copy.ai","Government Worker","Expert","Finance","Learning",1.16,"Wrong output"
"Tesla Optimus","Designer","Beginner","Energy","Learning",2.31,"Wrong output"
"HeyGen","Teacher","Expert","Healthcare","Content Writing",1.25,"Low accuracy"
"GPT-4","ML Engineer","Beginner","Retail","Coding",2.51,"Low accuracy"
"DeepSeek","Government Worker","Expert","Government","Coding",2.16,"Wrong output"
"LangChain","ML Engineer","Expert","Education","Research",2.45,"Wrong output"
"Qwen","DevOps Engineer","Intermediate","Government","Translation",2.49,"Connection issues"
"ElevenLabs","Junior Dev","Expert","Legal","Content Writing",2.38,"Slow response"
"Perplexity AI","Cybersecurity Analyst","Intermediate","Transportation","Design",1.22,"Wrong output"
"Claude","Government Worker","Intermediate","Transportation","Data Analysis",1.78,"Connection issues"
"AutoGPT","Researcher","Advanced","Manufacturing","Data Analysis",1.18,"Low accuracy"
"Khanmigo","ML Engineer","Advanced","Transportation","Content Writing",1.02,"Tool limitation"
"AutoGPT","Product Manager","Intermediate","Transportation","Automation",1.99,"Tool limitation"
"Grok","Marketer","Advanced","Retail","Research",2.34,"Connection issues"
"Notion AI","Startup Founder","Intermediate","Transportation","Learning",1.29,"Connection issues"
"Midjourney","Researcher","Intermediate","Retail","Data Analysis",1.38,"Tool limitation"
"Microsoft Copilot","Doctor","Intermediate","Media","Automation",2.27,"Low accuracy"
"Tesla Optimus","DevOps Engineer","Expert","Energy","Customer Support",1.63,"Wrong output"
"Tabnine","Marketer","Advanced","Transportation","Research",1.58,"Tool limitation"
"Claude","Business Owner","Intermediate","Legal","Design",2.04,"Tool limitation"
"Khanmigo","Business Owner","Advanced","Finance","Learning",1.53,"Tool limitation"
"Kensho","Data Analyst","Beginner","Agriculture","Video Creation",2.22,"Low accuracy"
"LangChain","Startup Founder","Intermediate","Finance","Customer Support",2.53,"Low accuracy"
"Synthesia","ML Engineer","Advanced","Healthcare","Coding",1.24,"Wrong output"
"DeepSeek","Cybersecurity Analyst","Advanced","Energy","Design",1.68,"Tool limitation"
"Tableau AI","Business Owner","Beginner","Government","Design",2.45,"Connection issues"
"Falcon","Business Owner","Advanced","Energy","Marketing",1.22,"Tool limitation"
"IBM Watson","Government Worker","Expert","Agriculture","Content Writing",1.89,"Wrong output"
"Deepgram","Startup Founder","Beginner","Retail","Research",2.33,"Slow response"
"ElevenLabs","Content Creator","Intermediate","Agriculture","Marketing",1.05,"Connection issues"
"Notion AI","Content Creator","Beginner","Manufacturing","Design",1.54,"Wrong output"
"Qwen","Cybersecurity Analyst","Beginner","Tech","Design",2.19,"Wrong output"
"Figma AI","Junior Dev","Advanced","Education","Marketing",1.02,"Tool limitation"
"Midjourney","Cybersecurity Analyst","Expert","Retail","Customer Support",1.15,"Low accuracy"
"Grok","Startup Founder","Intermediate","Education","Customer Support",1.37,"Slow response"
"LLaMA","Cybersecurity Analyst","Intermediate","Agriculture","Marketing",1.72,"Tool limitation"
"Devin","Researcher","Beginner","Legal","Data Analysis",2.21,"Low accuracy"
"Cohere","Business Owner","Beginner","Energy","Coding",2.48,"Connection issues"
"Stable Diffusion","Teacher","Intermediate","Finance","Coding",2.11,"Low accuracy"
"HeyGen","Content Creator","Intermediate","Agriculture","Learning",1.02,"Connection issues"
"Tesla Optimus","Data Analyst","Intermediate","Healthcare","Research",1.41,"Connection issues"
"Duolingo Max","Data Analyst","Beginner","Agriculture","Marketing",1.99,"Low accuracy"
"Khanmigo","Teacher","Beginner","Media","Customer Support",2.5,"Wrong output"
"Duolingo Max","Teacher","Intermediate","Tech","Research",1.18,"Connection issues"
"Power BI Copilot","Teacher","Advanced","Government","Design",1.84,"Connection issues"
"Stable Diffusion","Freelancer","Expert","Education","Video Creation",1.5,"Slow response"
"IBM Watson","Marketer","Expert","Media","Design",1.09,"Tool limitation"
"Boston Dynamics AI","Researcher","Expert","Media","Design",1.33,"Tool limitation"
"GPT-5","Marketer","Intermediate","Retail","Marketing",2.36,"Tool limitation"
"Claude","Startup Founder","Advanced","Tech","Learning",1.46,"Slow response"
"DataRobot","Non-Tech User","Advanced","Energy","Automation",2.47,"Slow response"
"Perplexity AI","Senior Developer","Beginner","Finance","Video Creation",1.6,"Low accuracy"
"Runway ML","Data Analyst","Expert","Healthcare","Design",2.33,"Slow response"
"Stable Diffusion","Marketer","Intermediate","Transportation","Marketing",1.96,"Low accuracy"
"Figma AI","Government Worker","Beginner","Legal","Coding",2.48,"Wrong output"
"Mistral","Student","Advanced","Energy","Automation",1.62,"Slow response"
"HeyGen","Teacher","Beginner","Energy","Video Creation",2.56,"Wrong output"
"IBM Watson","Junior Dev","Intermediate","Legal","Automation",1.28,"Low accuracy"
"Tabnine","Content Creator","Advanced","Finance","Learning",1.55,"Connection issues"
"Canva AI","Government Worker","Intermediate","Media","Marketing",1.78,"Wrong output"
"Duolingo Max","Marketer","Beginner","Energy","Design",1.2,"Tool limitation"
"IBM Watson","Student","Expert","Tech","Translation",2.32,"Tool limitation"
"Khanmigo","Government Worker","Intermediate","Agriculture","Video Creation",1.63,"Low accuracy"
"Tableau AI","Cybersecurity Analyst","Intermediate","Education","Data Analysis",2.54,"Slow response"
"Claude","Data Analyst","Intermediate","Education","Automation",2.38,"Slow response"
"Codeium","Teacher","Advanced","Agriculture","Video Creation",1.65,"Slow response"
"Tabnine","Cybersecurity Analyst","Beginner","Agriculture","Marketing",2.43,"Low accuracy"
"Notion AI","Marketer","Advanced","Healthcare","Content Writing",1.04,"Slow response"
"Perplexity AI","ML Engineer","Intermediate","Manufacturing","Content Writing",1.99,"Low accuracy"
"DALL-E","Doctor","Advanced","Manufacturing","Translation",2.19,"Tool limitation"
"GPT-5","Student","Advanced","Healthcare","Research",1.72,"Low accuracy"
"Copy.ai","Business Owner","Advanced","Energy","Design",1.72,"Slow response"
"Jasper","Marketer","Intermediate","Manufacturing","Content Writing",1.27,"Slow response"
"Devin","Product Manager","Advanced","Finance","Learning",1.56,"Low accuracy"
"Deepgram","ML Engineer","Advanced","Finance","Marketing",1.27,"Slow response"
"GrammarlyGO","Junior Dev","Intermediate","Tech","Learning",1.49,"Low accuracy"
"DataRobot","Business Owner","Advanced","Legal","Video Creation",1.62,"Tool limitation"
"TensorFlow","Researcher","Expert","Tech","Marketing",1.7,"Low accuracy"
"BloombergGPT","Doctor","Intermediate","Energy","Design",2.1,"Low accuracy"
"DataRobot","Junior Dev","Advanced","Legal","Learning",1.74,"Low accuracy"
"Microsoft Copilot","Freelancer","Expert","Energy","Coding",1.08,"Tool limitation"
"Synthesia","Student","Advanced","Education","Automation",2.53,"Tool limitation"
"Cohere","Startup Founder","Expert","Manufacturing","Translation",1.23,"Low accuracy"
"IBM Watson","Business Owner","Beginner","Healthcare","Translation",2.1,"Connection issues"
"Midjourney","Teacher","Beginner","Finance","Translation",1.01,"Slow response"
"LangChain","ML Engineer","Expert","Legal","Translation",1.45,"Connection issues"
"IBM Watson","Lawyer","Beginner","Tech","Design",1.74,"Slow response"
"BloombergGPT","Freelancer","Expert","Legal","Research",1.31,"Slow response"
"Gemini","ML Engineer","Intermediate","Media","Marketing",1.74,"Slow response"
"DataRobot","Freelancer","Advanced","Media","Data Analysis",2.05,"Wrong output"
"LLaMA","Doctor","Intermediate","Transportation","Research",2.14,"Low accuracy"
"GrammarlyGO","Startup Founder","Beginner","Agriculture","Customer Support",1.21,"Slow response"
"HeyGen","Government Worker","Beginner","Energy","Coding",1.01,"Slow response"
"LangChain","Product Manager","Intermediate","Transportation","Data Analysis",1.36,"Wrong output"
"Cursor AI","Startup Founder","Intermediate","Finance","Content Writing",1.48,"Wrong output"
"TensorFlow","Startup Founder","Intermediate","Finance","Marketing",2.36,"Tool limitation"
"TensorFlow","Data Analyst","Expert","Healthcare","Automation",2.38,"Wrong output"
"Kensho","Non-Tech User","Advanced","Tech","Video Creation",1.31,"Slow response"
"Notion AI","Junior Dev","Advanced","Manufacturing","Coding",1.2,"Tool limitation"
"GPT-5","Non-Tech User","Beginner","Transportation","Design",1.08,"Slow response"
"LLaMA","Designer","Advanced","Media","Automation",1.04,"Connection issues"
"TensorFlow","Designer","Expert","Legal","Translation",1.67,"Tool limitation"
"LangChain","Doctor","Intermediate","Government","Data Analysis",1.26,"Low accuracy"
"AlphaFold","Data Analyst","Beginner","Energy","Content Writing",1.88,"Connection issues"
"BloombergGPT","Cybersecurity Analyst","Expert","Retail","Design",1.39,"Low accuracy"
"Whisper","DevOps Engineer","Beginner","Transportation","Design",1.14,"Wrong output"
"Figma AI","Student","Beginner","Agriculture","Automation",1.17,"Tool limitation"
"Hugging Face","Marketer","Expert","Manufacturing","Marketing",2.11,"Wrong output"
"Qwen","Doctor","Advanced","Manufacturing","Translation",1.35,"Low accuracy"
"Gemini","ML Engineer","Beginner","Media","Content Writing",1.37,"Low accuracy"
"DataRobot","DevOps Engineer","Beginner","Education","Video Creation",2.31,"Slow response"
"LLaMA","Data Analyst","Expert","Finance","Content Writing",1.99,"Wrong output"
"Tabnine","ML Engineer","Intermediate","Energy","Automation",1.37,"Wrong output"
"Jasper","Teacher","Intermediate","Retail","Research",2.57,"Tool limitation"
"Copy.ai","Government Worker","Beginner","Legal","Customer Support",1.96,"Wrong output"
"Figma AI","Doctor","Advanced","Education","Coding",1.36,"Low accuracy"
"Jasper","Designer","Intermediate","Agriculture","Coding",2.59,"Tool limitation"
"GPT-4","DevOps Engineer","Beginner","Education","Marketing",2.31,"Low accuracy"
"Codeium","Non-Tech User","Expert","Education","Learning",1.21,"Wrong output"
"Cursor AI","Doctor","Intermediate","Government","Coding",1.79,"Slow response"
"AutoGPT","Teacher","Expert","Finance","Content Writing",2.59,"Wrong output"
"ElevenLabs","Product Manager","Advanced","Healthcare","Video Creation",1.71,"Low accuracy"
"Canva AI","Data Analyst","Beginner","Energy","Learning",1.7,"Low accuracy"
"Perplexity AI","DevOps Engineer","Advanced","Transportation","Data Analysis",1.51,"Slow response"
"Tabnine","Teacher","Intermediate","Finance","Learning",1.31,"Tool limitation"
"Power BI Copilot","Non-Tech User","Advanced","Legal","Data Analysis",1.05,"Low accuracy"
"Cursor AI","Cybersecurity Analyst","Advanced","Tech","Design",1.87,"Wrong output"
"Mistral","DevOps Engineer","Intermediate","Manufacturing","Translation",2.06,"Low accuracy"
"DeepSeek","Student","Advanced","Government","Data Analysis",2.46,"Wrong output"
"Jasper","Senior Developer","Beginner","Education","Research",1.12,"Low accuracy"
"PyTorch","Teacher","Expert","Retail","Learning",2.35,"Tool limitation"
"Copy.ai","Student","Beginner","Tech","Learning",2.54,"Slow response"
"HeyGen","ML Engineer","Advanced","Legal","Marketing",1.1,"Low accuracy"
"Runway ML","Designer","Intermediate","Legal","Customer Support",1.22,"Tool limitation"
"TensorFlow","Marketer","Expert","Agriculture","Content Writing",1.51,"Connection issues"
"HeyGen","Content Creator","Intermediate","Agriculture","Coding",1.21,"Wrong output"
"Devin","Data Analyst","Beginner","Government","Automation",1.37,"Low accuracy"
"Codeium","Teacher","Intermediate","Manufacturing","Data Analysis",1.73,"Connection issues"
"Kensho","Researcher","Expert","Media","Research",2.05,"Tool limitation"
"Copy.ai","Researcher","Beginner","Education","Research",1.12,"Connection issues"
"Kensho","Student","Beginner","Energy","Research",1.89,"Wrong output"
"GPT-4","Student","Beginner","Tech","Automation",1.83,"Wrong output"
"GrammarlyGO","Government Worker","Expert","Agriculture","Learning",2.39,"Connection issues"
"Cohere","Doctor","Intermediate","Agriculture","Automation",2.31,"Tool limitation"
"Boston Dynamics AI","Content Creator","Intermediate","Retail","Content Writing",1.11,"Slow response"
"BloombergGPT","Data Analyst","Beginner","Retail","Marketing",1.98,"Wrong output"
"AlphaFold","Product Manager","Intermediate","Legal","Translation",1.85,"Low accuracy"
"Deepgram","Lawyer","Intermediate","Healthcare","Customer Support",2.55,"Slow response"
"Jasper","Designer","Advanced","Media","Translation",1.22,"Connection issues"
"Mistral","Researcher","Intermediate","Retail","Translation",2.26,"Tool limitation"
"Boston Dynamics AI","Lawyer","Advanced","Healthcare","Content Writing",2.01,"Wrong output"
"Synthesia","Designer","Advanced","Agriculture","Video Creation",1.47,"Tool limitation"
"Deepgram","Researcher","Intermediate","Education","Translation",1.5,"Wrong output"
"Canva AI","Doctor","Intermediate","Tech","Automation",1.79,"Wrong output"
